,misto30,ANO,ČSSD,KDU-ČSL,KSČM,ODS,STAN,TOP 09,Zelení,ŽB,Nezávislí
1,Brno-Bohunice,,2,5,,,,,,,
2,Brno-Bosonohy,,,,,,,,,,
3,Brno-Bystrc,2,3,2,,1,,1,,,
4,Brno-Černovice,3,3,,,,,,,,1
5,Brno-Chrlice,2,1,,,,,,,,2
6,Brno-Ivanovice,,,,,,,,,,
7,Brno-Jehnice,,,,,,,,,,
8,Brno-jih,1,,1,,,1,1,,,1
9,Brno-Jundrov,,,,,,,,3,,2
10,Brno-Kníničky,,,,,,,,,,
11,Brno-Kohoutovice,,3,1,,,,,,,1
12,Brno-Komín,2,,1,,,,,,,2
13,Brno-Královo Pole,,4,2,,,,1,2,,
14,Brno-Líšeň,2,2,,,1,1,,,,
15,Brno-Maloměřice a Obřany,,2,2,,,,1,,,
16,Brno-Medlánky,,,1,,,,,,,4
17,Brno-Nový Lískovec,,,1,,,,,,,4
18,Brno-Ořešín,,,,,,,,,,
19,Brno-Řečkovice a Mokrá Hora,2,4,,,1,,,,,
20,Brno-sever,,4,2,,,,,,,5
21,Brno-Slatina,,3,2,,,,,,,2
22,Brno-Starý Lískovec,,,2,,3,,1,1,,
23,Brno-střed,4,,1,,,,,2,4,
24,Brno-Tuřany,2,,,,1,,,,,2
25,Brno-Útěchov,,,,,,,,,,
26,Brno-Vinohrady,1,5,,1,,,,,,
27,Brno-Žabovřesky,,3,2,,1,,,1,,
28,Brno-Žebětín,,,,,,,,,,
29,Brno-Židenice,4,,3,,,,2,,,
30,Brno,5,,2,,,,1,1,2,